Search Term,Title,Price,Condition,Sold Quantity,Location,Discount,Seller Rating,Seller Sales Completed,Seller Username,Seller Location,Color,Seller Address,Payment Methods,Description
Xiaomi Redmi,Xiaomi Redmi Note 12 Pro 4g 128gb 6ram 108mpx,619729,new,,"{'id': 'QVItQ1BhcnF1ZSBDaGFz', 'name': 'Parque Chas'}",,,,,,,"{'city': {'id': 'QVItQ1BhcnF1ZSBDaGFz', 'name': 'Parque Chas'}, 'state': {'id': 'AR-C', 'name': 'Capital Federal'}, 'country': {'id': 'AR', 'name': 'Argentina'}, 'search_location': {'neighborhood': {'id': 'TVhYUGFycXVlIENoYXNUVXhCUTBOQlVHWmxaR', 'name': 'Parque Chas'}, 'city': {'id': 'TUxBQ0NBUGZlZG1sYQ', 'name': 'Capital Federal'}, 'state': {'id': 'TUxBUENBUGw3M2E1', 'name': 'Capital Federal'}}, 'id': 1013769554}",,
Xiaomi Redmi,Celular Xiaomi Redmi Note 12 Pro 4g 128gb 6 Gb Ram 108mpx,516729,new,,"{'id': 'QVItQ1BhcnF1ZSBDaGFz', 'name': 'Parque Chas'}",,,,,,,"{'city': {'id': 'QVItQ1BhcnF1ZSBDaGFz', 'name': 'Parque Chas'}, 'state': {'id': 'AR-C', 'name': 'Capital Federal'}, 'country': {'id': 'AR', 'name': 'Argentina'}, 'search_location': {'neighborhood': {'id': 'TVhYUGFycXVlIENoYXNUVXhCUTBOQlVHWmxaR', 'name': 'Parque Chas'}, 'city': {'id': 'TUxBQ0NBUGZlZG1sYQ', 'name': 'Capital Federal'}, 'state': {'id': 'TUxBUENBUGw3M2E1', 'name': 'Capital Federal'}}, 'id': 1255635941}",,
Xiaomi Redmi,Xiaomi Redmi Note 9 Dual Sim 64 Gb  Forest Green 3 Gb Ram,372600,new,,"{'id': 'TUxBQk1PTjUxOTJa', 'name': 'Monserrat'}",,,,,,,"{'city': {'id': 'TUxBQk1PTjUxOTJa', 'name': 'Monserrat'}, 'state': {'id': 'AR-C', 'name': 'Capital Federal'}, 'country': {'id': 'AR', 'name': 'Argentina'}, 'search_location': {'neighborhood': {'id': 'TUxBQk1PTjUxOTJa', 'name': 'Monserrat'}, 'city': {'id': 'TUxBQ0NBUGZlZG1sYQ', 'name': 'Capital Federal'}, 'state': {'id': 'TUxBUENBUGw3M2E1', 'name': 'Capital Federal'}}, 'id': 1237583234}",,
Xiaomi Redmi,Xiaomi Redmi Note 12 Pro 5g Dual Sim 128 Gb  Azul 6 Gb Ram,593600,new,,"{'id': 'TUxBQ1JPUzg1Yjg3', 'name': 'Rosario'}",,,,,,,"{'city': {'id': 'TUxBQ1JPUzg1Yjg3', 'name': 'Rosario'}, 'state': {'id': 'AR-S', 'name': 'Santa Fe'}, 'country': {'id': 'AR', 'name': 'Argentina'}, 'search_location': {'city': {'id': 'TUxBQ1JPUzg1Yjg3', 'name': 'Rosario'}, 'state': {'id': 'TUxBUFNBTmU5Nzk2', 'name': 'Santa Fe'}}, 'id': 330219923}",,
Xiaomi Redmi,Xiaomi Redmi Note 11 (snapdragon) Dual Sim 64 Gb  Azul Estelar 4 Gb Ram,339999,new,,"{'id': 'TUxBQlZJTDQyMjFa', 'name': 'Villa Ortúzar'}",,,,,,,"{'city': {'id': 'TUxBQlZJTDQyMjFa', 'name': 'Villa Ortúzar'}, 'state': {'id': 'AR-C', 'name': 'Capital Federal'}, 'country': {'id': 'AR', 'name': 'Argentina'}, 'search_location': {'neighborhood': {'id': 'TUxBQlZJTDQyMjFa', 'name': 'Villa Ortúzar'}, 'city': {'id': 'TUxBQ0NBUGZlZG1sYQ', 'name': 'Capital Federal'}, 'state': {'id': 'TUxBUENBUGw3M2E1', 'name': 'Capital Federal'}}, 'id': 1275145973}",,
Xiaomi Redmi,Redmi Note 12 Pro +5g Ram 8gb Rom 256gb,730000,new,,"{'id': 'TUxBQ1FVSWI1MzY', 'name': 'Quilmes'}",,,,,,,"{'city': {'id': 'TUxBQ1FVSWI1MzY', 'name': 'Quilmes'}, 'state': {'id': 'AR-B', 'name': 'Buenos Aires'}, 'country': {'id': 'AR', 'name': 'Argentina'}, 'search_location': {'city': {'id': 'TUxBQ1FVSWI1MzY', 'name': 'Quilmes'}, 'state': {'id': 'TUxBUEdSQXJlMDNm', 'name': 'Bs.As. G.B.A. Sur'}}, 'id': 1266265716}",,
Xiaomi Redmi,Xiaomi Redmi 9 (global) Dual Sim 64 Gb Carbon Grey 4 Gb Ram,243800,new,,"{'id': 'TUxBQk1PTjUxOTJa', 'name': 'Monserrat'}",,,,,,,"{'city': {'id': 'TUxBQk1PTjUxOTJa', 'name': 'Monserrat'}, 'state': {'id': 'AR-C', 'name': 'Capital Federal'}, 'country': {'id': 'AR', 'name': 'Argentina'}, 'search_location': {'neighborhood': {'id': 'TUxBQk1PTjUxOTJa', 'name': 'Monserrat'}, 'city': {'id': 'TUxBQ0NBUGZlZG1sYQ', 'name': 'Capital Federal'}, 'state': {'id': 'TUxBUENBUGw3M2E1', 'name': 'Capital Federal'}}, 'id': 1237583234}",,
Xiaomi Redmi,Xiaomi Redmi 12c Dual Sim 64 Gb  Graphite Gray 3 Gb Ram,190078.81,new,,{'name': 'Claypole'},,,,,,,"{'city': {'name': 'Claypole'}, 'state': {'id': 'AR-B', 'name': 'Buenos Aires'}, 'country': {'id': 'AR', 'name': 'Argentina'}, 'search_location': {'neighborhood': {'id': 'TUxBQlJBRjc0NzZa', 'name': 'Rafael Calzada'}, 'city': {'id': 'TUxBQ0FMTWlyYW50', 'name': 'Almirante Brown'}, 'state': {'id': 'TUxBUEdSQXJlMDNm', 'name': 'Bs.As. G.B.A. Sur'}}, 'id': 1059253584}",,
Xiaomi Redmi,Xiaomi Redmi Note 12 4g Dual Sim 256 Gb  Dorado 8 Gb Ram,585000,new,,{'name': 'Villa Celina'},,,,,,,"{'city': {'name': 'Villa Celina'}, 'state': {'id': 'AR-B', 'name': 'Buenos Aires'}, 'country': {'id': 'AR', 'name': 'Argentina'}, 'search_location': {'neighborhood': {'id': 'TVhYVmlsbGEgQ2VsaW5hVFV4QlEweEJUV0YwW', 'name': 'Villa Celina'}, 'city': {'id': 'TUxBQ0xBTWF0YW56', 'name': 'La Matanza'}, 'state': {'id': 'TUxBUEdSQWVmNTVm', 'name': 'Bs.As. G.B.A. Oeste'}}, 'id': 1193245469}",,
Xiaomi Redmi,Xiaomi Redmi Note 13 5g Dual Sim 256 Gb  Blanco 8 Gb Ram,490000,new,,{'name': 'Boulogne Sur Mer'},,,,,,,"{'city': {'name': 'Boulogne Sur Mer'}, 'state': {'id': 'AR-B', 'name': 'Buenos Aires'}, 'country': {'id': 'AR', 'name': 'Argentina'}, 'search_location': {'neighborhood': {'id': 'TUxBQkJPVTg4MzJa', 'name': 'Boulogne Sur Mer'}, 'city': {'id': 'TUxBQ1NBTjg4ZmJk', 'name': 'San Isidro'}, 'state': {'id': 'TUxBUEdSQWU4ZDkz', 'name': 'Bs.As. G.B.A. Norte'}}, 'id': 1351525457}",,
